序号,刊名,ISSN,分区
189,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,1049-8923,3区
190,INFORMS JOURNAL ON COMPUTING,1091-9856,3区
191,COMPUTER COMMUNICATIONS,0140-3664,3区
192,Semantic Web,1570-0844,3区
193,ACM Transactions on Architecture and Code Optimization,1544-3566,3区
194,IEEE MICROWAVE MAGAZINE,1527-3342,3区
195,JOURNAL OF COMMUNICATIONS AND NETWORKS,1229-2370,3区
196,EVOLUTIONARY COMPUTATION,1063-6560,3区
197,IEEE INTELLIGENT SYSTEMS,1541-1672,3区
198,COMPUTERS & GRAPHICS-UK,0097-8493,3区
199,Frontiers in Neurorobotics,1662-5218,3区
200,COMPUTERS & ELECTRICAL ENGINEERING,0045-7906,3区
201,INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,1094-3420,3区
202,IEEE Transactions on Games,2475-1502,3区
203,ACM Transactions on Intelligent Systems and Technology,2157-6904,3区
204,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,0921-0296,3区
205,Egyptian Informatics Journal,1110-8665,3区
206,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,0278-0070,3区
207,Cryptography and Communications-Discrete-Structures Boolean Functions and Sequences,1936-2447,3区
208,International Journal of Fuzzy Systems,1562-2479,3区
209,INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,0308-1079,3区
210,COMPUTER VISION AND IMAGE UNDERSTANDING,1077-3142,3区
211,International Journal of Social Robotics,1875-4791,3区
212,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,1044-7318,3区
213,Internet of Things,2543-1536,3区
214,ICT Express,2405-9595,3区
215,Memetic Computing,1865-9284,3区
216,Journal of Logical and Algebraic Methods in Programming,2352-2208,3区
217,ACM Transactions on Storage,1553-3077,3区
218,JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,1047-3203,3区
219,Journal of Computational Science,1877-7503,3区
220,INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,1598-6446,3区
221,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,0169-7439,3区
222,ACM Transactions on Knowledge Discovery from Data,1556-4681,3区
223,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,1076-9757,3区
224,Journal of Cloud Computing-Advances Systems and Applications,2192-113X,3区
225,DATA MINING AND KNOWLEDGE DISCOVERY,1384-5810,3区
226,VISUAL COMPUTER,0178-2789,3区
227,COMPUTER SYSTEMS SCIENCE AND ENGINEERING,0267-6192,3区
228,Pervasive and Mobile Computing,1574-1192,3区
229,Genetic Programming and Evolvable Machines,1389-2576,3区
230,JOURNAL OF COMPUTER AND SYSTEM SCIENCES,0022-0000,3区
231,SYSTEMS & CONTROL LETTERS,0167-6911,3区
232,SOFT COMPUTING,1432-7643,3区
233,MINDS AND MACHINES,0924-6495,3区
234,EUROPEAN JOURNAL OF CONTROL,0947-3580,3区
235,WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,1386-145X,3区
236,IEEE Transactions on Cognitive and Developmental Systems,2379-8920,3区
237,IEEE MICRO,0272-1732,3区
238,Enterprise Information Systems,1751-7575,3区
239,COMPUTING,0010-485X,3区
240,Journal of Computer Languages,2590-1184,3区
241,JOURNAL OF INFORMATION SCIENCE,0165-5515,3区
242,SOFTWARE TESTING VERIFICATION & RELIABILITY,0960-0833,3区
243,ACM Transactions on the Web,1559-1131,3区
